Model,Class,AP50,mAP50-95
YOLOv26 baseline,box,0.7594731590754957,0.6040638263451222
YOLOv26 baseline,bottle,0.9221079246869404,0.7915887752693507
YOLOv26 baseline,can,0.959425570518575,0.8415156752628938
YOLOv26 baseline,package,0.7456995170102994,0.5707096838943003
YOLOv26 baseline,scratch,,
YOLOv26 baseline,crack,,
YOLOv26 baseline,dent,,
YOLOv26 baseline,stain,,
YOLOv26 baseline,OK,,
YOLOv26 baseline,NG,,
CargoDefect-YOLOv26,box,0.7848133178127772,0.606322846410597
CargoDefect-YOLOv26,bottle,0.9394600715532458,0.8027650184557119
CargoDefect-YOLOv26,can,0.9401364948394616,0.7795691004566515
CargoDefect-YOLOv26,package,0.7529542578451462,0.5813806743239004
CargoDefect-YOLOv26,scratch,0.0,
CargoDefect-YOLOv26,crack,0.0,
CargoDefect-YOLOv26,dent,0.0,
CargoDefect-YOLOv26,stain,0.0,
CargoDefect-YOLOv26,OK,1.0,
CargoDefect-YOLOv26,NG,0.0,
